_date_,FCP1F,FCP2F,FCP3F,FCP4F,FCP5F,FCP6F,FCP7F
2023-12-01,1.819896,0.656559,0.008369,-0.310216,0.447731,0.711873,-2.408697
2024-01-01,1.871951,0.779711,-0.32538,0.036318,0.416677,0.635047,-1.92883
2024-02-01,2.188109,0.563701,-0.31217,-0.51917,1.033654,0.790087,-1.150241
2024-03-01,2.473039,0.617454,-0.2978,-0.356587,1.410781,0.527611,-1.210277
2024-04-01,2.864682,0.421549,-0.36114,-0.149885,1.042832,0.84302,-0.386603
2024-05-01,2.602985,0.79407,-0.210684,-0.115219,0.485358,0.632038,-0.620621
2024-06-01,2.54486,0.994252,-0.656324,0.076247,0.363681,0.533347,-0.049176
2024-07-01,2.161574,0.939884,-1.095095,-0.202315,0.486043,0.325285,-0.228094
2024-08-01,2.456942,0.369526,-0.947832,-1.020995,0.365151,0.437254,0.248716
2024-09-01,2.917772,-0.456959,-0.644022,-1.263037,-0.1367,-0.022271,0.662842
2024-10-01,3.74429,-0.881561,-0.589523,-0.65205,-0.486574,-0.302547,1.220439
2024-11-01,4.005354,-0.849351,-0.864096,-0.265355,-0.420831,-0.66513,1.606748
2024-12-01,3.911033,-0.372572,-0.973136,-0.146525,-0.300285,-0.606137,1.945388
2025-01-01,3.808480323414754,0.11772292399606032,-1.183053510251175,-0.25443475502652896,-0.4078813007637969,-0.5286023688192542,1.4129280677982639
2025-02-01,3.3625565428125443,0.5186999443077082,-1.3010482514161943,0.5167175867180138,-0.7433556376295462,-0.8462061256001623,1.1552236345930886
2025-03-01,2.999618590645825,0.980625503198424,-1.4584173459450214,0.4062986230823762,-0.9132500519731467,-0.9195278877708641,1.0827033215410482
2025-04-01,2.600101085668682,1.3794331467043062,-1.837058781790699,0.36806950564621077,-0.6903410228746096,-1.265516604978817,0.7724112094868743
2025-05-01,2.508072311660736,1.4952808959357728,-1.8625756823574902,-0.3893653711704559,-0.3703685620826076,-0.9670546128755201,0.8423928289706599
2025-06-01,2.4274664058405455,1.7813095762244608,-1.1066927698431863,-0.9265525059070459,-0.2763607856365703,-1.02877152276203,0.603299443108055
2025-07-01,2.419606469821698,2.2059118758320673,-0.9163478282147656,-0.49107326553603636,-0.31263531341908984,-1.2675015193717396,0.6690771536631253
2025-08-01,2.0705397732171322,2.6782119372280144,-1.1165128207541548,0.07167736602893812,-0.23166642040672242,-1.4916471819989194,0.45915310959463795
2025-09-01,1.7297032257893168,2.925284542044656,-1.2675433972421302,0.1589627395512426,0.03738837838004938,-1.1981116485802692,0.2610314477687221
2025-10-01,1.308289643615984,3.1084621074448715,-1.3189006351894395,0.2849299899273561,0.22520090506327203,-0.940875911428385,0.0075652943460569055
2025-11-01,1.0877091743114193,3.043450047367914,-1.125169864083697,0.21637551560197135,0.19900868195006455,-0.3930595796390569,-0.17379182505918989
2025-12-01,0.9854548682971871,2.7316024188102475,-0.9537311632193317,-0.12849726354465826,0.14275773187469343,-0.41229913469969337,-0.32859699364039496
